10:08	21/01/2019


Time / sec	Conductance / µS
0.000	0.000
1.000	0.000
2.000	0.000
3.000	0.000
4.000	0.000
4.999	0.000
6.000	0.000
7.000	0.000
8.000	0.000
9.001	0.000
10.002	0.000
11.002	0.000
12.003	0.000
13.002	28.000
14.003	64.000
15.002	100.000
16.002	155.000
17.002	196.000
18.002	235.000
19.002	269.000
20.002	306.000
21.004	346.000
22.004	382.000
23.004	424.000
24.004	470.000
25.005	518.000
26.005	573.000
27.005	623.000
28.004	673.000
29.005	724.000
30.005	775.000
31.005	835.000
32.005	890.000
33.005	947.000
34.005	1008.000
35.006	1062.000
36.007	1123.000
37.008	1184.000
38.008	1250.000
39.008	1303.000
40.009	1353.000
41.009	1407.000
42.009	1463.000
43.010	1523.000
44.010	1577.000
45.009	1633.000
46.009	1684.000
47.009	1727.000
48.010	1784.000
49.010	1847.000
50.011	1900.000
51.012	1956.000
52.012	2011.000
53.012	2057.000
54.013	2111.000
55.014	2160.000
56.015	2210.000
57.015	2257.000
58.016	2301.000
59.016	2349.000
60.016	2396.000
61.016	2448.000
62.017	2490.000
63.018	2531.000
64.019	2576.000
65.019	2615.000
66.018	2658.000
67.018	2702.000
68.019	2746.000
69.019	2997.000
70.019	3024.000
71.019	3049.000
72.020	3074.000
73.021	3101.000
74.022	3123.000
75.022	3147.000
76.023	3173.000
77.022	3196.000
78.022	3216.000
79.022	3240.000
80.023	3262.000
81.023	3284.000
82.024	3307.000
83.024	3331.000
84.024	3355.000
85.024	3379.000
86.025	3405.000
87.026	3429.000
88.026	3455.000
89.026	3480.000
90.026	3503.000
91.027	3528.000
92.028	3553.000
93.030	3575.000
94.030	3599.000
95.030	3618.000
96.031	3644.000
97.030	3666.000
98.031	3689.000
99.032	3709.000
100.033	3728.000
101.034	3749.000
102.033	3769.000
103.033	3788.000
104.034	3804.000
105.034	3823.000
106.034	3837.000
107.034	3852.000
108.035	3868.000
109.037	3882.000
110.036	3898.000
111.037	3913.000
112.036	3926.000
113.037	3934.000
114.038	3949.000
115.039	3960.000
116.040	3973.000
117.040	3983.000
118.041	3995.000
119.042	3999.000
120.042	3999.000
121.042	3999.000
122.044	3999.000
123.045	3999.000
124.044	3999.000
125.045	3999.000
126.046	3999.000
127.047	3999.000
128.046	3999.000
129.046	3999.000
130.047	3999.000
131.046	3999.000
132.046	3999.000
133.046	3999.000
134.047	3999.000
135.046	3999.000
136.046	3999.000
137.047	3999.000
138.047	3999.000
139.048	3999.000
140.048	3999.000
141.048	3999.000
142.048	3999.000
143.049	3999.000
144.049	3999.000
145.050	3999.000
146.050	3999.000
147.049	3999.000
148.049	3999.000
149.050	3999.000
150.049	3999.000
151.050	3999.000
152.049	3999.000
153.049	3999.000
154.050	3999.000
155.051	3999.000
156.051	3999.000
157.050	3999.000
158.050	3999.000
159.050	3999.000
160.051	3999.000
161.051	3999.000
162.052	3999.000
163.053	3999.000
164.052	3999.000
165.052	3999.000
166.052	3999.000
167.052	3999.000
168.052	3999.000
169.053	3999.000
170.052	3999.000
171.053	3999.000
172.053	3999.000
173.053	3999.000
174.053	3999.000
175.054	3999.000
176.053	3999.000
177.054	3999.000
178.054	3999.000
179.054	3999.000
180.055	3999.000
181.055	3999.000
182.055	3999.000
183.056	3999.000
184.055	3999.000
185.056	3999.000
186.056	3999.000
187.056	3999.000
188.056	3999.000
189.057	3999.000
190.057	3999.000
191.057	3999.000
192.057	3999.000
193.058	3999.000
