11:20	18/01/2019
Fry Edward, Lam Yik Yau
6
Time / sec	Conductance / µS
0.000	17.000
0.999	19.000
2.000	21.000
3.000	21.000
4.000	23.000
5.000	24.000
6.001	26.000
7.001	30.000
8.001	34.000
9.002	35.000
10.001	38.000
11.001	41.000
12.001	44.000
13.001	48.000
14.001	52.000
15.002	55.000
16.003	58.000
17.002	61.000
18.003	65.000
19.002	69.000
20.003	74.000
21.002	79.000
22.003	84.000
23.002	89.000
24.002	94.000
25.003	100.000
26.004	105.000
27.004	111.000
28.004	116.000
29.003	122.000
30.003	129.000
31.003	136.000
32.004	142.000
33.005	149.000
34.006	156.000
35.007	163.000
36.006	170.000
37.006	178.000
38.006	186.000
39.007	194.000
40.008	202.000
41.009	210.000
42.009	218.000
43.009	227.000
44.008	236.000
45.008	245.000
46.009	254.000
47.009	263.000
48.008	272.000
49.009	281.000
50.008	291.000
51.008	300.000
52.009	310.000
53.009	320.000
54.008	330.000
55.010	340.000
56.009	351.000
57.009	361.000
58.010	372.000
59.010	382.000
60.010	393.000
61.010	404.000
62.010	415.000
63.010	426.000
64.010	437.000
65.010	448.000
66.010	460.000
67.010	472.000
68.011	483.000
69.011	494.000
70.010	506.000
71.010	517.000
72.010	529.000
73.010	540.000
74.012	552.000
75.011	563.000
76.012	575.000
77.013	586.000
78.013	599.000
79.012	611.000
80.013	623.000
81.014	634.000
82.014	646.000
83.015	659.000
84.015	671.000
85.015	683.000
86.016	695.000
87.015	707.000
88.016	721.000
89.015	733.000
90.016	745.000
91.016	757.000
92.016	768.000
93.017	780.000
94.017	792.000
95.018	804.000
96.017	816.000
97.017	828.000
98.017	840.000
99.017	852.000
100.018	864.000
101.017	874.000
102.017	886.000
103.017	897.000
104.017	909.000
105.017	921.000
106.018	933.000
107.018	944.000
108.019	954.000
109.019	967.000
110.020	979.000
111.019	991.000
112.020	1003.000
113.021	1014.000
114.021	1025.000
115.021	1036.000
116.021	1047.000
117.020	1058.000
118.020	1070.000
119.020	1081.000
120.020	1091.000
121.022	1103.000
122.021	1114.000
123.021	1124.000
124.022	1137.000
125.021	1148.000
126.021	1158.000
127.021	1170.000
128.022	1181.000
129.023	1191.000
130.022	1202.000
